50;Costa Rica;77,829;None;930;None;42,621;None;34,278;224;15,243;182;234,624;45,951;5,105,967
51;Ethiopia;76,988;None;1,208;None;31,677;None;44,103;296;666;10;1,285,743;11,116;115,668,563
52;Venezuela;76,820;None;643;None;67,216;None;8,961;215;2,704;23;1,957,439;68,888;28,415,006
53;Bahrain;71,803;None;257;+2;66,184;None;5,362;57;41,845;150;1,458,920;850,220;1,715,933
54;Nigeria;59,127;None;1,112;None;50,593;None;7,422;7;285;5;509,555;2,457;207,404,399
55;Uzbekistan;57,924;+470;476;+4;54,456;+501;2,992;283;1,724;14;1,377,915;41,020;33,591,599
56;Singapore;57,800;+6;27;None;57,562;+28;211;None;9,860;5;2,885,545;492,238;5,862,088
57;Moldova;55,888;+872;1,353;+9;40,475;+473;14,060;685;13,863;336;292,588;72,575;4,031,529
58;Switzerland;54,384;None;2,076;+1;45,800;None;6,508;31;6,272;239;1,391,498;160,481;8,670,795
59;Armenia;51,925;+543;972;+6;44,583;+177;6,370;None;17,515;328;303,707;102,442;2,964,671
60;Algeria;51,847;None;1,749;None;36,385;None;13,713;23;1,177;40;None;None;44,049,558
61;Austria;47,432;+1,058;809;+6;38,045;+859;8,578;97;5,259;90;1,673,868;185,582;9,019,565
62;Kyrgyzstan;47,184;+128;1,066;+1;43,278;+141;2,840;24;7,202;163;267,718;40,865;6,551,257
63;Ghana;46,803;+109;303;+2;46,006;+61;494;4;1,498;10;487,672;15,613;31,234,701
64;Paraguay;42,684;None;890;None;25,803;None;15,991;140;5,966;124;283,537;39,629;7,154,733
65;Lebanon;42,173;None;386;None;18,739;None;23,048;160;6,186;57;866,663;127,124;6,817,483
66;Palestine;41,078;+312;329;+8;33,442;+498;7,307;None;8,006;64;429,132;83,637;5,130,858
67;Azerbaijan;40,561;+108;595;+1;38,354;+137;1,612;None;3,991;59;1,132,327;111,423;10,162,461
68;Afghanistan;39,297;+7;1,462;+4;32,842;None;4,993;93;1,004;37;111,580;2,850;39,146,316
69;Kenya;39,184;+261;728;+3;25,426;+312;13,030;44;725;13;559,098;10,341;54,066,048
70;Ireland;37,063;None;1,801;None;23,364;None;11,898;20;7,485;364;1,221,801;246,739;4,951,786
71;Libya;36,087;+370;578;+8;20,889;+555;14,620;None;5,234;84;215,270;31,222;6,894,907
72;Serbia;33,842;+107;753;+2;31,536;None;1,553;20;3,877;86;1,151,790;131,962;8,728,210
73;Hungary;29,717;+1,086;812;+14;6,824;+475;22,081;43;3,078;84;751,217;77,814;9,653,981
74;El Salvador;29,358;+183;857;+4;24,175;+245;4,326;40;4,520;132;403,345;62,105;6,494,600
75;Denmark;29,302;+370;654;+2;22,297;+473;6,351;31;5,054;113;4,006,432;691,068;5,797,447
